,Ti,Al,Mn,Nb,Cr,Mo,V,Zr,Hf,O,Ta,Si,W,C,B,Fe,Ru,Ni,Y,Re,TestT,logYS,logTS,logEl,logHV,logCost
0,53.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,3.06,,,2.487138375477187,0.5828392997294387
1,52.986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0,0.0,0.0,298,3.04,,,2.472756449317212,0.5934441693879257
2,52.486,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.014,0.0,0.0,0,0.0,0.0,298,2.82,,,2.519827993775719,0.6572589375603655
3,52.986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0,0.0,0.0,298,3.04,,,2.484299839346786,0.5934441693879257
4,52.986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0,0.0,0.0,298,3.04,,,2.510545010206612,0.5934441693879257
5,52.986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0,0.0,0.0,298,3.04,,,2.489958479424835,0.5934441693879257
6,52.486,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.014,0.0,0.0,0,0.0,0.0,298,2.82,,,2.53655844257153,0.6572589375603655
7,52.986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0,0.0,0.0,298,3.04,,,2.46686762035411,0.5934441693879257
8,50.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.628388930050312,2.716003343634799,0.0,,0.791326407117766
9,50.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.544068044350276,2.662757831681574,0.3979400086720376,,0.791326407117766
10,49.0,46.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.811575005870593,2.8555191556678,0.2041199826559248,,0.6992278455775588
11,49.0,46.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.713490543093942,2.840106094456758,,,0.6992278455775588
12,48.3,46.5,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.664641975556126,2.762678563727436,0.4471580313422192,,0.6178656136655922
13,48.3,46.5,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.537819095073274,2.670245853074124,1.602059991327962,,0.6178656136655922
14,48.3,46.5,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.674861140737812,2.745855195173729,0.07918124604762482,,0.6178656136655922
15,48.3,46.5,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.574031267727719,2.706717782336759,0.505149978319906,,0.6178656136655922
16,48.3,46.5,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1143,2.558708570533166,2.685741738602264,1.079181246047625,,0.6178656136655922
17,50.66,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.724275869600789,0.1760912590556812,,1.524078422800429
18,50.66,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,1088,2.556302500767287,2.653212513775344,,,1.524078422800429
19,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,298,2.593286067020457,2.608526033577194,0.146128035678238,,1.52468394427261
20,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,710,2.61,,,,1.52468394427261
21,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,1033,2.505149978319906,2.672097857935718,1.03342375548695,,1.52468394427261
22,50.5,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,0.0,298,2.690196080028514,,,,1.52468394427261
23,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.738780558484369,0.3617278360175928,,1.509434233132143
24,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,873,2.583198773968623,2.705007959333336,0.4913616938342727,,1.509434233132143
25,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.510545010206612,2.69196510276736,1.740362689494244,,1.509434233132143
26,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.518513939877888,2.583198773968623,-0.09691001300805639,,1.509434233132143
